,Compnay Name,CIK,Notes Link,10-K Report Page URL,End Date of Fiscal Year
76,Comcast Corp,0001166691,https://www.sec.gov/Archives/edgar/data/0001166691/000119312512073905/R12.htm,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-12-073905-index.htm,2011-12-31
77,Comcast Corp,0001166691,http://makeresearchgreatagain.com/sec_files/Comcast_Corp_2011-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-11-047243-index.htm,2010-12-31
78,Comcast Corp,0001166691,http://makeresearchgreatagain.com/sec_files/Comcast_Corp_2010-02-23_report.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-10-037551-index.htm,2009-12-31
79,Comcast Corp,0001166691,http://makeresearchgreatagain.com/sec_files/Comcast_Corp_2009-02-20_report.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-09-033975-index.htm,2008-12-31
80,Comcast Corp,0001166691,http://makeresearchgreatagain.com/sec_files/Comcast_Corp_2008-02-20_report.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-08-034239-index.htm,2007-12-31
81,Comcast Corp,0001166691,http://makeresearchgreatagain.com/sec_files/Comcast_Corp_2007-02-26_report.html,https://www.sec.gov/Archives/edgar/data/0001166691/0001193125-07-039301-index.htm,2006-12-31
82,DaVita HealthCare Partners Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000156459017002409/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-17-002409-index.htm,2016-12-31
83,DaVita HealthCare Partners Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000156459016013587/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-16-013587-index.htm,2015-12-31
84,DaVita HealthCare Partners Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000156459015001035/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001564590-15-001035-index.htm,2014-12-31
85,DaVita HealthCare Partners Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000119312514062565/R28.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-14-062565-index.htm,2013-12-31
86,DaVita HealthCare Partners Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000119312513085450/R26.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-13-085450-index.htm,2012-12-31
87,DaVita HealthCare Partners Inc,0000927066,https://www.sec.gov/Archives/edgar/data/0000927066/000119312512077942/R25.htm,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-12-077942-index.htm,2011-12-31
88,DaVita HealthCare Partners Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_HealthCare_Partners_Inc_2011-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-11-046882-index.htm,2010-12-31
89,DaVita HealthCare Partners Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_HealthCare_Partners_Inc_2010-02-25_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-10-040773-index.htm,2009-12-31
90,DaVita HealthCare Partners Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_HealthCare_Partners_Inc_2009-02-27_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-09-040883-index.htm,2008-12-31
91,DaVita HealthCare Partners Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_HealthCare_Partners_Inc_2008-02-29_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-08-042304-index.htm,2007-12-31
92,DaVita HealthCare Partners Inc,0000927066,http://makeresearchgreatagain.com/sec_files/DaVita_HealthCare_Partners_Inc_2007-02-28_report.html,https://www.sec.gov/Archives/edgar/data/0000927066/0001193125-07-041368-index.htm,2006-12-31
