,Ticker,CIK,10-K Report Date,Notes Link,10-K Report URL
102,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R71.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
103,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R72.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
104,ENSG,0001125376,000112537617000013,https://www.sec.gov/Archives/edgar/data/0001125376/000112537617000013/R73.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-17-000013.txt
105,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R17.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
106,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R18.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
107,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R38.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
108,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R39.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
109,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R73.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
110,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R74.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
111,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R75.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
112,ENSG,0001125376,000112537616000142,https://www.sec.gov/Archives/edgar/data/0001125376/000112537616000142/R76.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-16-000142.txt
113,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R16.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
114,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R17.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
115,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R37.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
116,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R38.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
117,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R73.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
118,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R74.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
119,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R75.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
120,ENSG,0001125376,000112537615000019,https://www.sec.gov/Archives/edgar/data/0001125376/000112537615000019/R76.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-15-000019.txt
121,ENSG,0001125376,000112537614000008,https://www.sec.gov/Archives/edgar/data/0001125376/000112537614000008/R17.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-14-000008.txt
122,ENSG,0001125376,000112537614000008,https://www.sec.gov/Archives/edgar/data/0001125376/000112537614000008/R35.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-14-000008.txt
123,ENSG,0001125376,000112537614000008,https://www.sec.gov/Archives/edgar/data/0001125376/000112537614000008/R68.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-14-000008.txt
124,ENSG,0001125376,000112537614000008,https://www.sec.gov/Archives/edgar/data/0001125376/000112537614000008/R69.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-14-000008.txt
125,ENSG,0001125376,000112537614000008,https://www.sec.gov/Archives/edgar/data/0001125376/000112537614000008/R70.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-14-000008.txt
126,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R14.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
127,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R32.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
128,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R60.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
129,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R61.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
130,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R62.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
131,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R63.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
132,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R64.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
133,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R65.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
134,ENSG,0001125376,000112537613000022,https://www.sec.gov/Archives/edgar/data/0001125376/000112537613000022/R66.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-13-000022.txt
135,ENSG,0001125376,000112537612000007,https://www.sec.gov/Archives/edgar/data/0001125376/000112537612000007/R14.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-12-000007.txt
136,ENSG,0001125376,000112537612000007,https://www.sec.gov/Archives/edgar/data/0001125376/000112537612000007/R15.htm,https://www.sec.gov/Archives/edgar/data/0001125376/0001125376-12-000007.txt
137,ENSG,0001125376,000095012310013769,ENSG_2010-02-17_report_0.html,https://www.sec.gov/Archives/edgar/data/0001125376/0000950123-10-013769.txt
138,ENSG,0001125376,000089256909000090,ENSG_2009-02-18_report_0.html,https://www.sec.gov/Archives/edgar/data/0001125376/0000892569-09-000090.txt
139,ENSG,0001125376,000089256908000267,ENSG_2008-03-06_report_0.html,https://www.sec.gov/Archives/edgar/data/0001125376/0000892569-08-000267.txt
140,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R12.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
141,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R35.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
142,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R69.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
143,FISV,0000798354,000079835420000006,https://www.sec.gov/Archives/edgar/data/0000798354/000079835420000006/R70.htm,https://www.sec.gov/Archives/edgar/data/0000798354/0000798354-20-000006.txt
